,urls
0,http://www.walmart.com
1,http://www.amazon.jobs
2,http://www.deloitte.com
3,http://www.mcdonalds.com
4,http://www.ibm.com
5,http://www.starbucks.com
6,http://www.accenture.com
7,http://www.pwc.com
8,http://www.td.com
9,http://www.ey.com
10,http://www.walmart.com
11,http://www.amazon.jobs
12,http://www.deloitte.com
13,http://www.mcdonalds.com
14,http://www.ibm.com
15,http://www.starbucks.com
16,http://www.accenture.com
17,http://www.pwc.com
18,http://www.td.com
19,http://www.ey.com
20,http://www.kpmg.com
21,http://www.rbc.com
22,http://www.bestbuy.com
23,http://www.tcs.com
24,http://www.microsoft.com
25,http://www.homedepot.com
26,http://www.apple.com
27,http://www.cognizant.com
28,http://www.scotiabank.com
29,http://www.sap.com
30,http://www.cibc.com
31,http://www.google.com
32,http://www.infosys.com
33,http://www.cgi.com
34,http://corporate.target.com
35,http://jobs.bmo.com
36,http://www.hsbc.com
37,http://www.oracle.com
38,http://www.jobs-ups.com
39,http://www.timhortons.com
40,http://www.telus.com
41,http://about.rogers.com
42,http://jobs.lowes.com
43,http://www.cisco.com
44,http://www.enterprise.com
45,http://www.bell.ca
46,http://www.teleperformance.com
47,http://www.utoronto.ca
48,http://www.pepsico.com
49,http://www.capgemini.com
50,http://www.costco.com
51,http://www.citigroup.com
52,http://www.ericsson.com
53,http://www.concentrix.com
54,http://www.salesforce.com
55,http://www.nordstrom.com
56,http://www.staples.com
57,http://www.ymca.net
58,http://www.subway.com
59,http://jobs.sears.com
60,http://jobs.adp.com
61,http://www.shoppersdrugmart.ca
62,http://www.randstad.com
63,http://www.opg.com
64,http://www.capitalonecareers.com
65,http://www.uber.com
66,http://www.hm.com
67,http://www.morganstanley.com
68,http://www.intel.com
69,http://www.wipro.com
70,http://jobs.dell.com
71,http://www.loblaw.com
72,http://www.roberthalf.com
73,http://www.aerotek.com
74,http://www.oldnavy.com
75,http://www.ikea.com
76,http://www.ge.com
77,http://www.ubc.ca
78,http://www.shell.com
79,http://www.manulife.com
80,http://corp.canadiantire.ca
81,http://www.blackberry.com
82,http://www.lululemon.com
83,http://jobs.marriott.com
84,http://www.siemens.com
85,http://www.gm.com
86,http://www.pg.com
87,http://www.nokia.com
88,http://www.gap.com
