,urls
0,http://www.athabascau.ca/
1,https://concordia.ab.ca/
2,http://www.macewan.ca/wcm/index.htm
3,http://www.mtroyal.ca/
4,http://www.kingsu.ca/
5,http://ualberta.ca/
6,http://www.ucalgary.ca/
7,http://www.uleth.ca/
8,http://www.ecuad.ca/
9,http://www.kpu.ca/
10,http://www.royalroads.ca/
11,http://www.sfu.ca/
12,https://www.ubc.ca/
13,http://www.tru.ca/
14,http://twu.ca/
15,http://www.unbc.ca/
16,https://www.ufv.ca/
17,https://www.uvic.ca/
18,https://www.viu.ca/
19,https://www.brandonu.ca/
20,http://www.cmu.ca/
21,http://umanitoba.ca/stpauls/
22,https://www.uwinnipeg.ca/
23,http://ustboniface.ca/
24,http://umanitoba.ca/
25,http://www.mta.ca/Prospective/Default.aspx
26,http://w3.stu.ca/stu/default.aspx
27,https://www.umoncton.ca/
28,http://www.unb.ca/
29,http://www2.acadiau.ca/
30,http://www.cbu.ca/
31,http://www.dal.ca/
32,http://www.msvu.ca/en/home/default.aspx
33,http://nscad.ca/en/home/default.aspx
34,http://www.smu.ca/
35,http://www.stfx.ca/
36,https://www.usainteanne.ca/
37,http://www.ukings.ca/
38,http://www.mun.ca/
39,http://www.algomau.ca/
40,http://brescia.uwo.ca/
41,http://www.brocku.ca/
42,https://carleton.ca/
43,http://www.dominicanu.ca/
44,http://www.huronuc.on.ca/Home
45,http://www.kings.uwo.ca/
46,https://www.lakeheadu.ca/
47,https://laurentian.ca/
48,http://www.mcmaster.ca/
49,http://www.nipissingu.ca/
50,http://www.ocadu.ca/
51,http://www.queensu.ca/
52,http://www.redeemer.ca/
53,https://www.rmcc-cmrc.ca/en
54,http://www.ryerson.ca/index.html
55,http://ustpaul.ca/
56,http://www.sju.ca/
57,http://www.trentu.ca/
58,http://www.uoguelph.ca/
59,http://uoit.ca/
60,https://www.uottawa.ca/en
61,http://stmikes.utoronto.ca/
62,http://www.usudbury.ca/
63,http://www.utoronto.ca/
64,http://www.trinity.utoronto.ca/
65,https://uwaterloo.ca/
66,http://www.uwindsor.ca/
67,http://www.vicu.utoronto.ca/home
68,http://www.uwo.ca/
69,http://www.wlu.ca/
70,http://www.yorku.ca/index.html
71,http://home.upei.ca/
72,http://www.ubishops.ca/index.html
73,https://www.concordia.ca/
74,http://www.etsmtl.ca/
75,http://www.enap.ca/enap/fr/accueil.aspx
76,http://www.hec.ca/en/
77,http://www.inrs.ca/english/homepage
78,https://www.mcgill.ca/
79,http://www.polymtl.ca/en
80,http://www.teluq.ca/
81,http://www.umontreal.ca/
82,http://www.usherbrooke.ca/
83,http://www.uquebec.ca/reseau/
84,http://www.uqac.ca/
85,http://www.uqam.ca/
86,http://www.uqar.ca/
87,http://uqtr.ca/
88,http://uqat.ca/
89,http://uqo.ca/
90,https://www2.ulaval.ca/accueil.html
91,http://campioncollege.ca/
92,http://fnuniv.ca/
93,https://www.luthercollege.edu/
94,http://stmcollege.ca/
95,http://www.uregina.ca/
96,https://www.usask.ca/
