Name,Gender,Occurences
Olivia,F,17535
Emma,F,15581
Ava,F,13084
Charlotte,F,13003
Sophia,F,12976
Amelia,F,12704
Isabella,F,12066
Mia,F,11157
Evelyn,F,9445
Harper,F,8778
Camila,F,8096
Gianna,F,7826
Abigail,F,7817
Luna,F,7770
Ella,F,7303
Elizabeth,F,7216
Sofia,F,6926
Emily,F,6856
Avery,F,6698
Mila,F,6602
Scarlett,F,6455
Eleanor,F,6335
Madison,F,6196
Layla,F,6174
Penelope,F,6099
Aria,F,6093
Chloe,F,6093
Grace,F,5569
Ellie,F,5562
Nora,F,5550
Hazel,F,5457
Zoey,F,5331
Riley,F,5309
Victoria,F,5249
Lily,F,5195
Aurora,F,5184
Violet,F,5075
Nova,F,4940
Hannah,F,4910
Emilia,F,4750
Zoe,F,4725
Stella,F,4624
Everly,F,4590
Isla,F,4538
Leah,F,4482
Lillian,F,4468
Addison,F,4467
Willow,F,4345
Lucy,F,4339
Paisley,F,4333
Natalie,F,4258
Naomi,F,4066
Eliana,F,4038
Brooklyn,F,3989
Elena,F,3904
Aubrey,F,3886
Claire,F,3822
Ivy,F,3794
Kinsley,F,3744
Audrey,F,3735
Maya,F,3696
Genesis,F,3654
Skylar,F,3608
Bella,F,3590
Aaliyah,F,3550
Madelyn,F,3520
Savannah,F,3515
Anna,F,3479
Delilah,F,3384
Serenity,F,3366
Caroline,F,3345
Kennedy,F,3342
Valentina,F,3331
Ruby,F,3308
Sophie,F,3287
Alice,F,3268
Gabriella,F,3197
Sadie,F,3174
Ariana,F,3136
Allison,F,3132
Hailey,F,3129
Autumn,F,3106
Nevaeh,F,3076
Natalia,F,3059
Quinn,F,3058
Josephine,F,3027
Sarah,F,3025
Cora,F,3007
Emery,F,2959
Samantha,F,2929
Piper,F,2881
Leilani,F,2860
Eva,F,2826
Everleigh,F,2799
Madeline,F,2771
Lydia,F,2767
Jade,F,2717
Peyton,F,2703
Brielle,F,2697
Adeline,F,2694
Vivian,F,2680
Rylee,F,2677
Clara,F,2664
Raelynn,F,2585
Melanie,F,2501
Melody,F,2498
Julia,F,2485
Athena,F,2482
Maria,F,2460
Liliana,F,2457
Hadley,F,2414
Arya,F,2356
Rose,F,2356
Reagan,F,2355
Eliza,F,2335
Adalynn,F,2327
Kaylee,F,2318
Lyla,F,2293
Mackenzie,F,2283
Alaia,F,2254
Isabelle,F,2226
Charlie,F,2219
Arianna,F,2193
Mary,F,2188
Remi,F,2185
Margaret,F,2178
Iris,F,2159
Parker,F,2131
Ximena,F,2018
Eden,F,2016
Ayla,F,2006
Kylie,F,2006
Elliana,F,2000
Josie,F,1987
Katherine,F,1968
Faith,F,1964
Alexandra,F,1954
Eloise,F,1950
Adalyn,F,1918
Amaya,F,1916
Jasmine,F,1915
Amara,F,1902
Daisy,F,1877
Reese,F,1867
Valerie,F,1867
Brianna,F,1859
Cecilia,F,1846
Andrea,F,1804
Summer,F,1804
Valeria,F,1803
Norah,F,1797
Ariella,F,1792
Esther,F,1787
Ashley,F,1784
Emerson,F,1774
Aubree,F,1770
Isabel,F,1756
Anastasia,F,1750
Ryleigh,F,1742
Khloe,F,1729
Taylor,F,1729
Londyn,F,1728
Lucia,F,1724
Emersyn,F,1715
Callie,F,1712
Sienna,F,1708
Blakely,F,1698
Kehlani,F,1694
Genevieve,F,1685
Alina,F,1683
Bailey,F,1653
Juniper,F,1645
Maeve,F,1637
Molly,F,1635
Harmony,F,1611
Georgia,F,1594
Magnolia,F,1592
Catalina,F,1584
Freya,F,1581
Juliette,F,1575
Sloane,F,1571
June,F,1568
Sara,F,1565
Ada,F,1548
Kimberly,F,1548
River,F,1540
Ember,F,1517
Juliana,F,1515
Aliyah,F,1511
Millie,F,1494
Brynlee,F,1490
Teagan,F,1485
Morgan,F,1483
Jordyn,F,1481
London,F,1477
Alaina,F,1475
Olive,F,1474
Rosalie,F,1461
Alyssa,F,1460
Ariel,F,1454
Finley,F,1429
Arabella,F,1417
Journee,F,1413
Hope,F,1407
Leila,F,1399
Alana,F,1387
Gemma,F,1376
Vanessa,F,1370
Gracie,F,1368
Noelle,F,1359
Marley,F,1356
Elise,F,1354
Presley,F,1348
Kamila,F,1339
Zara,F,1327
Amy,F,1326
Kayla,F,1326
Payton,F,1322
Blake,F,1316
Ruth,F,1315
Alani,F,1303
Annabelle,F,1301
Sage,F,1301
Aspen,F,1294
Laila,F,1294
Lila,F,1290
Rachel,F,1285
Trinity,F,1283
Daniela,F,1275
Alexa,F,1272
Lilly,F,1271
Lauren,F,1269
Elsie,F,1259
Margot,F,1257
Adelyn,F,1255
Zuri,F,1254
Brooke,F,1252
Sawyer,F,1252
Lilah,F,1249
Lola,F,1248
Selena,F,1236
Mya,F,1234
Sydney,F,1234
Diana,F,1222
Ana,F,1221
Vera,F,1207
Alayna,F,1205
Nyla,F,1202
Elaina,F,1198
Rebecca,F,1192
Angela,F,1182
Kali,F,1175
Alivia,F,1171
Raegan,F,1169
Rowan,F,1166
Phoebe,F,1163
Camilla,F,1162
Joanna,F,1162
Malia,F,1162
Vivienne,F,1159
Dakota,F,1158
Brooklynn,F,1156
Evangeline,F,1156
Camille,F,1154
Jane,F,1154
Nicole,F,1149
Catherine,F,1144
Jocelyn,F,1138
Julianna,F,1136
Lena,F,1135
Lucille,F,1130
Mckenna,F,1130
Paige,F,1130
Adelaide,F,1128
Charlee,F,1128
Mariana,F,1125
Myla,F,1125
Mckenzie,F,1123
Tessa,F,1123
Miriam,F,1121
Oakley,F,1120
Kailani,F,1118
Alayah,F,1117
Amira,F,1116
Adaline,F,1106
Phoenix,F,1103
Milani,F,1093
Annie,F,1092
Lia,F,1091
Angelina,F,1089
Harley,F,1089
Cali,F,1081
Maggie,F,1079
Hayden,F,1078
Leia,F,1078
Fiona,F,1076
Briella,F,1072
Journey,F,1068
Lennon,F,1067
Saylor,F,1063
Jayla,F,1061
Kaia,F,1060
Thea,F,1060
Adriana,F,1056
Mariah,F,1054
Juliet,F,1031
Oaklynn,F,1028
Kiara,F,1025
Alexis,F,1019
Haven,F,1018
Aniyah,F,1015
Delaney,F,1012
Gracelynn,F,1011
Kendall,F,1009
Winter,F,997
Lilith,F,995
Logan,F,992
Amiyah,F,989
Evie,F,982
Alexandria,F,975
Gracelyn,F,958
Gabriela,F,957
Sutton,F,954
Harlow,F,952
Madilyn,F,943
Makayla,F,942
Evelynn,F,937
Gia,F,933
Nina,F,933
Amina,F,930
Giselle,F,930
Brynn,F,926
Blair,F,922
Amari,F,921
Octavia,F,917
Michelle,F,916
Talia,F,912
Demi,F,910
Alaya,F,905
Kaylani,F,905
Izabella,F,904
Fatima,F,902
Tatum,F,897
Makenzie,F,895
Lilliana,F,890
Arielle,F,883
Palmer,F,883
Melissa,F,881
Willa,F,881
Samara,F,874
Destiny,F,871
Dahlia,F,867
Celeste,F,865
Ainsley,F,863
Rylie,F,863
Reign,F,862
Laura,F,860
Adelynn,F,857
Gabrielle,F,857
Remington,F,850
Wren,F,850
Brinley,F,848
Amora,F,846
Lainey,F,844
Collins,F,842
Lexi,F,840
Aitana,F,838
Alessandra,F,837
Kenzie,F,834
Raelyn,F,830
Elle,F,827
Everlee,F,824
Haisley,F,821
Hallie,F,820
Wynter,F,817
Daleyza,F,816
Gwendolyn,F,811
Paislee,F,807
Ariyah,F,804
Veronica,F,802
Heidi,F,801
Anaya,F,800
Cataleya,F,798
Kira,F,798
Avianna,F,797
Felicity,F,796
Aylin,F,795
Miracle,F,793
Sabrina,F,793
Lana,F,790
Ophelia,F,790
Elianna,F,786
Royalty,F,782
Madeleine,F,781
Esmeralda,F,779
Joy,F,778
Kalani,F,777
Esme,F,775
Jessica,F,775
Leighton,F,774
Ariah,F,771
Makenna,F,771
Nylah,F,770
Viviana,F,763
Camryn,F,762
Cassidy,F,762
Dream,F,762
Luciana,F,762
Maisie,F,760
Stevie,F,760
Kate,F,759
Lyric,F,756
Daniella,F,751
Alicia,F,744
Daphne,F,744
Frances,F,736
Charli,F,735
Raven,F,735
Paris,F,733
Nayeli,F,721
Serena,F,721
Heaven,F,720
Bianca,F,719
Helen,F,718
Hattie,F,717
Averie,F,715
